id,stadt,land,region,kontinent,lat,lng,typ,schwierigkeit,streetview_link,kuratiert,status
1,Berlin,Deutschland,EU,EU,52.5200,13.4050,P2,Mittel,,Nein,
2,Tokyo,Japan,Asien,Asien,35.6762,139.6503,P2,Mittel,,Nein,
3,New York,USA,Nordamerika,Nordamerika,40.7128,-74.0060,P2,Mittel,,Nein,
4,Sydney,Australien,Ozeanien,Ozeanien,-33.8688,151.2093,P2,Mittel,,Nein,
5,Kairo,Aegypten,Afrika,Afrika,30.0444,31.2357,P2,Mittel,,Nein,
6,Rio de Janeiro,Brasilien,Suedamerika,Suedamerika,-22.9068,-43.1729,P2,Mittel,,Nein,
7,Mumbai,Indien,Asien,Asien,19.0760,72.8777,P2,Mittel,,Nein,
8,Moskau,Russland,EU,EU,55.7558,37.6173,P2,Mittel,,Nein,
9,Kapstadt,Suedafrika,Afrika,Afrika,-33.9249,18.4241,P2,Mittel,,Nein,
10,Mexiko-Stadt,Mexiko,Nordamerika,Nordamerika,19.4326,-99.1332,P2,Mittel,,Nein,
11,Bangkok,Thailand,Asien,Asien,13.7563,100.5018,P2,Mittel,,Nein,
12,London,UK,EU,EU,51.5074,-0.1278,P2,Mittel,,Nein,
13,Buenos Aires,Argentinien,Suedamerika,Suedamerika,-34.6037,-58.3816,P2,Mittel,,Nein,
14,Nairobi,Kenia,Afrika,Afrika,-1.2921,36.8219,P2,Mittel,,Nein,
15,Reykjavik,Island,EU,EU,64.1466,-21.9426,P2,Mittel,,Nein,
16,Lima,Peru,Suedamerika,Suedamerika,-12.0464,-77.0428,P2,Mittel,,Nein,
17,Dubai,VAE,Asien,Asien,25.2048,55.2708,P2,Mittel,,Nein,
18,Singapur,Singapur,Asien,Asien,1.3521,103.8198,P2,Mittel,,Nein,
19,Havanna,Kuba,Nordamerika,Nordamerika,23.1136,-82.3666,P2,Mittel,,Nein,
20,Oslo,Norwegen,EU,EU,59.9139,10.7522,P2,Mittel,,Nein,
21,Istanbul,Tuerkei,Asien,Asien,41.0082,28.9784,P2,Mittel,,Nein,
22,Hanoi,Vietnam,Asien,Asien,21.0278,105.8342,P2,Mittel,,Nein,
23,Lissabon,Portugal,EU,EU,38.7223,-9.1393,P2,Mittel,,Nein,
24,Marrakesch,Marokko,Afrika,Afrika,31.6295,-7.9811,P2,Mittel,,Nein,
25,Seoul,Suedkorea,Asien,Asien,37.5665,126.9780,P2,Mittel,,Nein,
26,Athen,Griechenland,EU,EU,37.9838,23.7275,P2,Mittel,,Nein,
27,Bogota,Kolumbien,Suedamerika,Suedamerika,4.7110,-74.0721,P2,Mittel,,Nein,
28,Helsinki,Finnland,EU,EU,60.1699,24.9384,P2,Mittel,,Nein,
29,Kathmandu,Nepal,Asien,Asien,27.7172,85.3240,P2,Mittel,,Nein,
30,Port Louis,Mauritius,Afrika,Afrika,-20.1609,57.5012,P2,Mittel,,Nein,
31,Ulaanbaatar,Mongolei,Asien,Asien,47.8864,106.9057,P3,Schwer,,Nein,
32,La Paz,Bolivien,Suedamerika,Suedamerika,-16.5000,-68.1500,P2,Mittel,,Nein,
33,Kopenhagen,daenemark,EU,EU,55.6761,12.5683,P2,Mittel,,Nein,
34,San Francisco,USA,Nordamerika,Nordamerika,37.7749,-122.4194,P2,Mittel,,Nein,
35,Taipei,Taiwan,Asien,Asien,25.0330,121.5654,P2,Mittel,,Nein,
36,Venedig,Italien,EU,EU,45.4408,12.3155,P1,Leicht,,Nein,
37,Hongkong,China,Asien,Asien,22.3193,114.1694,P2,Mittel,,Nein,
38,Jerusalem,Israel,Asien,Asien,31.7683,35.2137,P2,Mittel,,Nein,
39,Edinburgh,UK,EU,EU,55.9533,-3.1883,P2,Mittel,,Nein,
40,Montreal,Kanada,Nordamerika,Nordamerika,45.5017,-73.5673,P2,Mittel,,Nein,
41,Accra,Ghana,Afrika,Afrika,5.6037,-0.1870,P2,Mittel,,Nein,
42,Dakar,Senegal,Afrika,Afrika,14.7167,-17.4677,P3,Schwer,,Nein,
43,Colombo,Sri Lanka,Asien,Asien,6.9271,79.8612,P2,Mittel,,Nein,
44,Tallinn,Estland,EU,EU,59.4370,24.7536,P2,Mittel,,Nein,
